company,rep_topic,rep_prob,T10_팀바팀부서편차,T11_보상연봉,T1_워라밸복지,T2_계약직전환,T3_업무강도편차,T4_열악한근무환경,T5_군대식조직문화,T6_비효율문서작업,T7_성장성부족,T8_사내정치불공정,T9_경영진문제,company_clean,company_info,산업,기업형태,사원수,설립일,company_norm,별점
(유)매나테크코리아,T1_워라밸복지,0.181818182,0.159090909,0.0909090909,0.181818182,0.0227272727,0.0454545455,0,0.0454545455,0.0909090909,0.0681818182,0.181818182,0.113636364,매나테크코리아,(유)매나테크코리아,판매유통,중소기업,40명,2004.02.25,매나테크코리아,2.454545455
(유)신원데이터넷,T10_팀바팀부서편차,0.212121212,0.212121212,0.0606060606,0.121212121,0,0.0606060606,0.0303030303,0.0303030303,0.0303030303,0.212121212,0.121212121,0.121212121,신원데이터넷,(유)신원데이터넷,판매유통,중소기업,19명,1993.10.02,신원데이터넷,2.666666667
(유)쿡메디칼코리아,T8_사내정치불공정,0.245614035,0.192982456,0.192982456,0.105263158,0,0.0701754386,0.0175438597,0.0175438597,0.052631579,0.105263158,0.245614035,0,쿡메디칼코리아,(유)쿡메디칼코리아,판매유통,중소기업,72명,2007.04.25,쿡메디칼코리아,2.767857143
(재)한국데이터산업진흥원,T8_사내정치불공정,0.217687075,0.210884354,0.0816326531,0.0884353741,0.0204081633,0.0816326531,0.0612244898,0.0612244898,0.0680272109,0.0476190476,0.217687075,0.0612244898,한국데이터산업진흥원,(재)한국데이터산업진흥원,협회/단체,-,-,1993.02.04,한국데이터산업진흥원,2.431506849
(주)가온데이터,T1_워라밸복지,0.271186441,0.101694915,0.220338983,0.271186441,0.0169491525,0.13559322,0.0508474576,0.0338983051,0.0508474576,0.0677966102,0.0169491525,0.0338983051,가온데이터,(주)가온데이터,네트워크/통신/모바일,중소기업,100명,2013.09.01,가온데이터,2.847457627
(주)나인후르츠미디어,T1_워라밸복지,0.228571429,0.214285714,0.114285714,0.228571429,0,0.0285714286,0.0428571429,0.0571428571,0.0428571429,0.157142857,0.0428571429,0.0714285714,나인후르츠미디어,(주)나인후르츠미디어,광고/홍보/전시,중소기업,49명,2001.01.31,나인후르츠미디어,3.128571429
(주)네일에이스,T1_워라밸복지,0.194444444,0.138888889,0.111111111,0.194444444,0,0.0277777778,0.111111111,0.0277777778,0.0833333333,0.0277777778,0.166666667,0.111111111,네일에이스,(주)네일에이스,금속/재료/철강/요업,-,22명,2004.08.19,네일에이스,1.5
(주)넥스트엔터테인먼트월드,T8_사내정치불공정,0.208791209,0.153846154,0.10989011,0.131868132,0,0.043956044,0.021978022,0.10989011,0.043956044,0.0769230769,0.208791209,0.0989010989,넥스트엔터테인먼트월드,(주)넥스트엔터테인먼트월드,영화/배급/음악,중견기업,49명,2008.07.01,넥스트엔터테인먼트월드,2.065934066
(주)노루페인트,T4_열악한근무환경,0.273333333,0.0733333333,0.04,0.12,0.00666666667,0.12,0.273333333,0.113333333,0.00666666667,0.0733333333,0.126666667,0.0466666667,노루페인트,(주)노루페인트,석유/화학/에너지,대기업,670명,2006.06.01,노루페인트,2.606666667
(주)노르마,T7_성장성부족,0.280701754,0.0877192982,0.122807018,0.192982456,0,0.0701754386,0.0701754386,0,0.0175438597,0.280701754,0,0.157894737,노르마,(주)노르마,솔루션/SI/ERP/CRM,-,2명,2011.10.12,노르마,2.701754386
(주)다올저축은행,T8_사내정치불공정,0.24,0.16,0.186666667,0.12,0,0.08,0.0666666667,0.0266666667,0,0.0533333333,0.24,0.0666666667,다올저축은행,(주)다올저축은행,은행/금융/저축,대기업,203명,1972.12.20,다올저축은행,2.946666667
(주)다이나믹디자인,T1_워라밸복지,0.353333333,0.08,0.06,0.353333333,0.00666666667,0.0866666667,0.08,0.0533333333,0.0266666667,0.126666667,0.1,0.0266666667,다이나믹디자인,(주)다이나믹디자인,기계/설비/자동차,중소기업,340명,1999.04.02,다이나믹디자인,1.986666667
(주)다인내추럴,T1_워라밸복지,0.631578947,0.052631579,0,0.631578947,0,0.105263158,0.052631579,0,0,0.105263158,0.052631579,0,다인내추럴,(주)다인내추럴,식품가공/개발,-,20명,2005.01.01,다인내추럴,1.684210526
(주)다인누리,T10_팀바팀부서편차,0.388888889,0.388888889,0.0555555556,0.277777778,0,0.0555555556,0.111111111,0,0,0.0555555556,0.0555555556,0,다인누리,(주)다인누리,판매유통,중소기업,32명,2013.01.01,다인누리,4.277777778
(주)다임즈,T11_보상연봉,0.175438596,0.0877192982,0.175438596,0.105263158,0.0175438597,0.105263158,0.0701754386,0.0175438597,0.0877192982,0.105263158,0.0701754386,0.157894737,다임즈,(주)다임즈,솔루션/SI/ERP/CRM,중소기업,48명,2002.12.10,다임즈,2.614035088
(주)대양금속,T4_열악한근무환경,0.227272727,0.0681818182,0,0.181818182,0,0.136363636,0.227272727,0.0454545455,0,0.159090909,0.113636364,0.0681818182,대양금속,(주)대양금속,금속/재료/철강/요업,중견기업,219명,1973.08.22,대양금속,2.113636364
(주)대한항공,T1_워라밸복지,0.166666667,0.12,0.14,0.166666667,0,0.0933333333,0.14,0.12,0,0.0733333333,0.12,0.0266666667,대한항공,(주)대한항공,운송/운수/물류,대기업,"18,508명",1962.06.19,대한항공,3.58
(주)더큐브시스템,T11_보상연봉,0.4,0.1,0.4,0.15,0,0.05,0,0,0,0.05,0.1,0.15,더큐브시스템,(주)더큐브시스템,금속/재료/철강/요업,-,-,2016.04.21,더큐브시스템,1.25
(주)데어리젠,T4_열악한근무환경,0.219512195,0.121951219,0.0975609756,0.170731707,0,0.0487804878,0.219512195,0.0487804878,0,0.146341463,0.0975609756,0.0487804878,데어리젠,(주)데어리젠,식품가공/개발,-,110명,2002.08.20,데어리젠,2.829268293
(주)데이터노우즈,T9_경영진문제,0.307692308,0.0384615385,0.269230769,0.115384615,0,0.0384615385,0,0.0384615385,0,0.115384615,0.0769230769,0.307692308,데이터노우즈,(주)데이터노우즈,포털/인터넷/콘텐츠,-,-,2019.05.24,데이터노우즈,2.346153846
(주)데이터누리,T3_업무강도편차,0.192307692,0.192307692,0,0.115384615,0,0.192307692,0.0384615385,0,0.192307692,0.0769230769,0.153846154,0.0384615385,데이터누리,(주)데이터누리,솔루션/SI/ERP/CRM,-,-,2018.10.25,데이터누리,2.72
(주)데이터독코리아,T8_사내정치불공정,0.35,0.15,0,0,0,0.25,0.05,0.05,0.05,0.05,0.35,0.05,데이터독코리아,(주)데이터독코리아,솔루션/SI/ERP/CRM,-,-,-,데이터독코리아,2.9
(주)데이터로직스,T1_워라밸복지,0.282051282,0.102564103,0.0512820513,0.282051282,0,0.205128205,0,0,0.0256410256,0.0512820513,0.0512820513,0.230769231,데이터로직스,(주)데이터로직스,솔루션/SI/ERP/CRM,-,-,2013.03.19,데이터로직스,1.461538462
(주)데이터마케팅코리아,T9_경영진문제,0.233333333,0.133333333,0.0833333333,0.0333333333,0.0166666667,0.15,0.0166666667,0.0166666667,0.0166666667,0.133333333,0.166666667,0.233333333,데이터마케팅코리아,(주)데이터마케팅코리아,IT컨설팅,-,-,2017.03.14,데이터마케팅코리아,2.016666667
(주)데이터메이커,T8_사내정치불공정,0.152173913,0.130434783,0.0434782609,0.130434783,0,0.130434783,0.130434783,0.0434782609,0.0217391304,0.108695652,0.152173913,0.108695652,데이터메이커,(주)데이터메이커,솔루션/SI/ERP/CRM,중소기업,47명,2018.10.24,데이터메이커,3.422222222
(주)데이터블,T9_경영진문제,0.153846154,0.115384615,0.0769230769,0.115384615,0.0384615385,0.0769230769,0,0.0384615385,0.115384615,0.153846154,0.115384615,0.153846154,데이터블,(주)데이터블,포털/인터넷/콘텐츠,-,-,2016.08.01,데이터블,3.153846154
(주)데이터에듀,T1_워라밸복지,0.210526316,0.052631579,0.105263158,0.210526316,0,0.131578947,0.052631579,0,0.0263157895,0.184210526,0.184210526,0.052631579,데이터에듀,(주)데이터에듀,포털/인터넷/콘텐츠,-,-,2019.02.01,데이터에듀,2.184210526
(주)데이터월드,T10_팀바팀부서편차,0.434782609,0.434782609,0.0434782609,0.173913044,0,0,0,0,0.0434782609,0.0434782609,0.217391304,0.0434782609,데이터월드,(주)데이터월드,솔루션/SI/ERP/CRM,중소기업,-,2007.02.13,데이터월드,3.260869565
(주)덴츠크리에이티브코리아,T8_사내정치불공정,0.223214286,0.107142857,0.0803571429,0.151785714,0,0.0357142857,0.0714285714,0.0892857143,0.0446428571,0.125,0.223214286,0.0714285714,덴츠크리에이티브코리아,(주)덴츠크리에이티브코리아,광고/홍보/전시,중소기업,75명,1999.03.03,덴츠크리에이티브코리아,2.633928571
(주)돌실나이,T1_워라밸복지,0.24137931,0.0689655172,0.172413793,0.24137931,0,0.103448276,0.206896552,0.0344827586,0.0689655172,0.0689655172,0,0.0344827586,돌실나이,(주)돌실나이,섬유/의류/패션,-,27명,1999.06.30,돌실나이,2.24137931
(주)동아일보사,T10_팀바팀부서편차,0.2,0.2,0.146666667,0.14,0.0333333333,0.0666666667,0.06,0.1,0.0466666667,0.0666666667,0.126666667,0.0133333333,동아일보사,(주)동아일보사,신문/잡지/언론사,대기업,706명,1920.04.01,동아일보사,3.246666667
